BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
11-116542,Ville de La Croix saint Ouen,None,Jean Desessart,,,65 route Nationale,60610,la croix saint ouen,,,,,,,https://marches-agglo-compiegne.safetender.com,,,,,False,False,,False,False
21-37182,METROPOLE D AIX MARSEILLE PROVENCE,None,,Direction de la Commande Publique-Service des Marchés,FRL04,"58, Boulevard Charles Livon",None,Marseille,,(+33) 4-91-99-99-00,,(+33) 4-91-99-71-96,marches.marseilleprovence@ampmetropole.fr,https://ampmetropole.fr/,https://marchespublics.ampmetropole.fr,,,,,False,True,,False,True
19-140862,Communauté d'Agglomération du Sud,None,,"Direction de la Commande Publique, à l'attention de M. le Président",FRY40,379 rue Hubert Delisle BP 437,97838,Le Tampon Cedex,RE,(+33) -02-62-57-97-77,,(+33) -02-62-57-97-74,juridique@casud.re,http://www.casud.re,https://casud.achatpublic.com,,,,,False,False,,False,False
19-141762,Ville de Cholet,None,,,FRG02,Hôtel de Ville - Rue Saint Bonaventure - BP 32135,49300,CHOLET,,(+33) 2-44-09-26-90,,,marches-contrats@choletagglomeration.fr,http://www.cholet.fr,http://www.anjoumarchespublics.fr,,http://www.anjoumarchespublics.fr,http://www.anjoumarchespublics.fr,,False,True,,False,True
19-170952,Métropole Nice Côte d'Azur,None,,Jérome GODARD,FRL03,5 rue de l'Hôtel de Ville,06364,Nice cedex 4,,,,,procedures.dsp-ppp@nicecotedazur.org,http://www.e-marches06.fr,,,,http://www.e-marches06.fr,,False,False,,False,False
19-174419,PARIS LA DEFENSE,None,"Monsieur Pierre-Yves Guice, Directeur Général",,,Immeuble Coeur Défense - tour B 110 esplanade du Général de Gaulle,92932,Paris-la-Défense,,,,,marchespublics@parisladefense.com,https://parisladefense.com/fr,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2020_aKc-JK7wYT,,,,,False,False,,False,False
19-180078,MAIRIE DE VAUX SUR MER,None,,Comptabilité,FR,"1, Place Maurice Garnier BP 90219 Vaux-sur-Mer",17205,ROYAN,,,,,compta2@vaux-atlantique.com,http://www.compta2@vaux-atlantique.com,http://www.marches-securises.fr,,http://marches-securises.fr,http://marches-securises.fr,,False,True,,False,True
19-184028,SPLA Maraïna,None,,A l'attention de Madame la Présidente Directrice Générale,FRY40,"38, Rue Colbert",97460,SAINT-PAUL,,(+26)2- 2-62-91-91-64,,(+26)2- 2-62-91-91-69,marches@spl-maraina.com,http://spl-maraina.com,https://spl-maraina.achatpublic.com,,,,,False,True,,False,True
19-188040,Communauté Communes Pévèle Carembault,None,Jean-Luc Detavernier,,,Hôtel de ville - Place du bicentenaire - BP63,59710,Pont-a-marcq,,03-20-79-20-80,,,contact@pevelecarembault.fr,http://www.pevelecarembault.fr,https://marchespublics596280.fr,,,,,False,False,,False,False
19-80673,Agence Régionale du Tourisme Grand Est,None,Catherine METZGER,,,24 rue de Verdun,68000,Colmar,,03-89-29-81-58,,,catherine.metzger@art-grandest.fr,http://www.art-grandest.fr,https://marchespublics.grandest.fr,,,,,False,False,,False,False
19-99055,Ville de Quincy-Voisins,None,Services Techniques,,,7 avenue de la République,77860,Quincy-Voisins,,01-60-04-16-43,,,mairieqvst@orange.fr,,http://quincy-voisins.synapse-entreprises.com,,,,,False,False,,False,False
20-101180,Ville d'Avignon,None,,,FRL06,Hôtel de Ville- Place de l'Horloge,84045,AVIGNON,,(+33) 4-90-80-83-14,,(+33) 4-90-80-69-96,commande.publique@mairie-avignon.com,https://www.avignon.fr,https://avignon-marchespublics.omnikles.com/,,https://avignon-marchespublics.omnikles.com/,https://avignon-marchespublics.omnikles.com/,,False,True,,False,True
20-105182,COMMUNE D ARRAS,None,,,FRE12,6 place Guy Mollet,62022,Arras,,(+33) 3-21-50-69-31,,,s-marches@ville-arras.fr,http://arras.fr,http://arras.fr,,,,,False,True,,False,True
20-106702,SEVADEC,25620393600024,,Monsieur le Président du SEVADEC,FRE12,281 rue Jacques Monod - BP20,62101,CALAIS Cedex,,(+33) 3-21-19-58-30,,(+33) 3-21-36-58-41,sevadec@wanadoo.fr,http://www.sevadec.fr,http://www.marches-securises.fr,,http://www.marches-securises.fr,http://www.marches-securises.fr,,False,True,,False,True
20-106925,A.P.I.J.,None,Caroline JEAN-ETIENNE,,,"Immeuble OKABE67, avenue de Fontainebleau",94270,Le kremlin bicetre,,,,,caroline.jean-etienne@apij-justice.fr,http://www.apij.justice.fr,http://www.achatpublic.com,,,,,False,False,,False,False
20-106965,Département des Alpes-Maritimes,None,,Monsieur le Président du Conseil départemental - Direction générale adjointe pour les ressources et les moyens - direction des achats et de la logistique - service des marchés,FRL03,"CADAM - 147 Bd du Mercantour - tour Jean Moulin - bureau 630,",06201,NICE CEDEX 3,,(+33) -04-97-18-60-00,,,marches@departement06.fr,http://www.e-marches06.fr,http://www.e-marches06.fr,,,,,False,True,,False,True
20-113152,Commune de Saint-Loubès,None,Service Marchés Publics,,,Mairie BP56,33451,Saint-Loubès,,05-57-97-16-16,,,marchespublic@saint-loubes.fr,https://www.saint-loubes.fr/,https://demat-ampa.fr/?page=entreprise.AccueilEntreprise,,,,,False,False,,False,False
20-113661,Département des Alpes-Maritimes,None,,Monsieur le Président du Conseil départemental - Direction générale adjointe pour les ressources et les moyens - direction des achats et de la logistique - service des marchés,FRL03,"CADAM - 147 Bd du Mercantour - tour Jean Moulin - bureau 630,",06201,NICE CEDEX 3,,(+33) -04-97-18-60-00,,,marches@departement06.fr,https://www.e-marches06.fr,,,,,,False,True,,False,True
20-114596,Préfecture de Police de Paris,None,M. le Préfet de Police,,,1 bis rue de lutèce,75195,Paris,,,,,,http://www.prefecturepoliceparis.interieur.gouv.fr,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
20-115515,Préfecture de Police,None,Mme VILLERONCE Christelle,,,"1 bis, rue de Lutèce",75195,Paris,,01-70-22-25-79,,01-70-22-25-50,prefpol.marchespublics-scp@interieur.gouv.fr,,https://marches.maximilien.fr,,,,,False,False,,False,False
20-115536,SYNDICAT MIXTE DE L'OZANNE,None,Estelle OZENNE,,,27 avenue du Général de Gaulle,28160,Brou,,02-37-96-01-05,,,syndicatdeseauxbrou@orange.fr,,,,,,,False,False,,False,False
20-116214,CHNO des Quinze-Vingts,18003601400017,,,FR,28 Rue de Charenton,75571,Paris,,(+33) 1-40-02-11-64,,,marches@15-20.fr,https://www.quinze-vingts.fr,https://www.marches-publics-hopitaux.com,,,,,False,True,,False,True
20-116496,OPPIC,None,Madame la Présidente de l'OPPIC,,,30 rue du château des Rentiers CS 61336 75647Paris,75013,Paris,,01-44-97-78-00,,,departement.marches@oppic.fr,http://www.oppic.fr,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
20-118216,Préfecture de police DFCPP BCP,None,,,FR101,"1, bis, rue de Lutèce",75195,Paris cedex 04,,(+33) 1-70-22-26-18,,(+33) 1-70-22-25-50,prefpol.marchespublics-scp@interieur.gouv.fr,http://www.prefecture-police-paris.interieur.gouv.fr,,,,,,False,True,,False,True
