BOAMP_AVIS_NUM,D_12_01_Conditionrelativemarche_Cautionnement,D_12_02_Conditionrelativemarche_Financement,D_12_03_Conditionrelativemarche_Formejuridique,D_12_04_Conditionrelativemarche_Participationelectroniqueoui,D_12_05_Conditionrelativemarche_Participationelectroniquenon,D_12_06_Conditionrelativemarche_Autresconditionspartoui,D_12_07_Conditionrelativemarche_Autresconditionspartnon,D_12_08_Conditionrelativemarche_Unitemonetaireeur,D_12_09_Conditionrelativemarche_Francaisseul,D_12_10_Conditionrelativemarche_Langues,D_12_10_01_Conditionrelativemarche_Langues_Langue,D_12_10_02_Conditionrelativemarche_Langues_Autres
11-116542,Aucune clause de garantie financière ne sera appliquée sauf dans le cas d'une demande d'avance.Le montant de l'avance sera garanti à 100%.,Les règles de la comptabilité publique s'appliquent. Le délai global de paiement est de 30 jours à compter de la date de réception de la facture ou de la demande de paiement équivalente.,Aucune forme de groupement n'est imposé aux candidats.,False,False,,True,True,False,CF_NIV_SUIV,,
19-141762,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-170952,,,,False,True,,False,False,False,CF_NIV_SUIV,['FR'],
19-174419,,,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
19-180078,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-80673,,,,False,False,,False,True,True,CF_NIV_SUIV,,
19-99055,,,,False,False,,False,True,True,CF_NIV_SUIV,,
20-101180,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
20-106702,,,,True,False,,False,False,False,CF_NIV_SUIV,['FR'],
20-106925,"Le marché prévoit une retenue de garantie de 5% prélevée sur tous les règlements du marché, elle pourra être remplacée par une garantie à première demande.Il prévoit une GPA de 12 mois.",Financement sur les crédits budgétaires alloués à l'APIJ - Paiement au compte du titulaire par virement à 30 jours maximum conformément au décret no2013-269 du 23 mars 2013. Il est prévu le versement d'une avance et d'acomptes en fonction de l'avancement des travaux.,Candidat unique ou groupement conjoint avec mandataire solidaire ou groupement solidaire,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
20-113152,,,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
20-114596,"Chaque paiement fait l'objet d'une retenue de garantie au taux de 5% dans les conditions prévues aux articles R2191-32 à R2191-35 du Code de la commande publique.Le taux de retenue de garantie fixé au paragraphe précédent est porté à 3% lorsque le titulaire du marché public ou son sous-traitant admis au paiement direct est une petite et moyenne entreprise.La retenue de garantie peut être remplacée, au gré du titulaire, par une garantie à première demande dans les conditions prévues à l'article R2191-36 du Code de la commande publique.La retenue de garantie est remboursée et les établissements ayant accordé leur garantie à première demande sont libérés un mois au plus tard après expiration du délai de garantie dans les conditions prévues à l'article R2191-42 du Code de la commande publique.La caution personnelle et solidaire est refusée.","le règlement des dépenses se fait par mandat administratif suivi d'un virement.Le délai global de paiement ne peut excéder trente jours conformément aux dispositions du décret no 2013-269 du 29 mars 2013 pris en application du titre IV de la loi no 2013-100 du 28 janvier 2013 portant diverses dispositions d'adaptation de la législation au droit de l'union européenne en matière économique et financière.Le délai de paiement court à partir de la date de réception de la facture conforme au cahier des charges et non sujette à contestation ou rectification.Le délai de paiement court à compter de la date de réception de la situation de travaux par le maître d'oeuvre.La remise des situations de travaux est prévue contre remise d'un récépissé en réunion de chantier avec copie à la préfecture de Police.Le défaut de paiement dans les délais prévus par les textes précédemment mentionnés fait courir de plein droit et sans autre formalité des intérêts moratoires au bénéfice du titulaire ou du sous-traitant payé directement.Le taux des intérêts moratoires est égal au taux d'intérêt appliqué par la Banque centrale européenne à ses opérations principales de refinancement les plus récentes, en vigueur au premier jour du semestre de l'année civile au cours duquel les intérêts moratoires ont commencé à courir, majoré de huit points de pourcentage.Le retard de paiement donne lieu au versement d'une indemnité forfaitaire d'un montant de 40 euros pour frais de recouvrement sur chaque situation de travaux. Ces frais de recouvrement sont cumulés avec les frais d'intérêts moratoires.","La forme du groupement n'est pas imposée.En application de l'article R2142-22 du Code de la commande publique, le pouvoir adjudicateur impose que le mandataire du groupement conjoint soit solidaire, pour l'exécution du présent marché, de chacun des membres du groupement pour ses obligations contractuelles.Le candidat ne peut pas répondre en tant que titulaire et cotraitant d'un ou plusieurs groupements.",False,False,,True,True,False,CF_NIV_SUIV,['FR'],
20-115536,,,conjoint avec mandataires solidaires,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
