BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
19-154604,False,False,False,False,False,False,False,
19-177114,False,False,False,False,False,True,False,
20-129071,False,False,False,False,False,False,False,
20-129797,False,False,False,False,False,True,False,
20-140677,False,False,False,False,True,False,False,
20-148651,False,False,False,False,True,False,False,
20-156499,False,False,False,True,False,False,False,
20-59896,False,False,False,False,True,False,False,
20-65624,False,False,False,False,False,False,True,
20-74155,False,False,False,False,False,True,False,
20-96627,False,False,False,False,True,False,False,
21-10048,False,False,False,False,True,False,False,
21-10666,False,False,False,False,True,False,False,
21-10836,False,False,False,False,False,True,False,
21-11053,False,False,False,False,True,False,False,
21-12172,False,False,False,True,False,False,False,
21-12728,False,False,False,False,False,False,True,
21-13487,False,False,False,True,False,False,False,
21-14338,False,False,False,False,False,False,False,
21-14687,False,False,False,False,False,False,False,
21-14786,False,False,False,False,False,False,True,
21-15000,False,False,False,False,True,False,False,
21-15062,False,False,False,False,True,False,False,
21-15480,False,False,False,True,False,False,False,
21-15494,False,True,False,False,False,False,False,
21-15757,False,False,False,True,False,False,False,
21-15799,False,False,False,False,False,False,True,
21-15828,False,False,False,False,False,False,True,
21-15969,False,False,False,False,False,False,True,
21-16460,False,False,False,False,True,False,False,
21-16773,False,False,False,False,False,False,True,
21-17598,False,False,True,False,False,False,False,
21-17795,False,True,False,False,False,False,False,
21-18611,False,False,False,False,False,False,True,
21-18632,False,False,False,False,True,False,False,
21-19044,False,True,False,False,False,False,False,
21-19751,False,False,False,True,False,False,False,
21-20285,False,False,False,False,True,False,False,
21-20624,False,False,False,False,False,False,True,
21-20834,False,False,True,False,False,False,False,
21-20919,False,False,False,False,True,False,False,
21-20999,False,False,False,False,False,False,False,
21-21231,False,False,False,True,False,False,False,
21-21613,False,False,False,True,False,False,False,
21-21635,False,False,False,False,True,False,False,
21-21852,False,False,False,False,True,False,False,
21-21921,False,False,False,False,True,False,False,
21-21944,False,False,False,False,False,False,True,
21-22053,False,False,True,False,False,False,False,
21-22055,False,False,False,False,True,False,False,
21-22182,False,False,False,False,False,False,True,
21-22273,False,True,False,False,False,False,False,
21-22299,False,False,False,False,False,False,False,
21-22305,False,False,False,False,True,False,False,
21-22369,False,False,False,False,True,False,False,
21-22483,False,False,False,False,True,False,False,
21-22543,False,False,False,False,True,False,False,
21-22782,False,False,False,False,False,False,True,
21-22784,False,False,False,True,False,False,False,
21-22803,False,False,False,False,True,False,False,
21-22829,False,False,False,False,False,False,False,
21-22860,False,False,False,False,False,False,True,
21-22915,False,False,False,False,False,False,True,
21-23008,False,False,False,False,False,False,True,
21-23025,False,False,False,True,False,False,False,
21-23427,False,False,False,True,False,False,False,
21-23552,False,False,False,False,False,False,True,
21-23585,False,False,False,False,False,False,False,
21-23913,False,False,False,True,False,False,False,
21-24006,False,False,True,False,False,False,False,
21-24382,False,False,False,True,False,False,False,
21-24383,False,False,False,False,True,False,False,
21-24400,False,False,False,True,False,False,False,
21-24575,False,True,False,False,False,False,False,
21-24701,False,True,False,False,False,False,False,
21-24702,False,False,False,True,False,False,False,
21-24807,False,False,False,False,False,False,True,
21-2482,False,False,False,False,True,False,False,
21-24883,False,False,True,False,False,False,False,
21-24914,False,False,True,False,False,False,False,
21-24937,False,False,False,False,False,False,True,
21-25000,False,False,False,False,True,False,False,
21-25012,False,False,False,False,False,False,True,
21-25069,False,False,False,False,False,False,True,
21-25077,False,False,False,True,False,False,False,
21-25098,False,False,False,False,True,False,False,
21-25147,False,False,False,False,False,False,True,
21-25221,False,False,False,False,False,False,True,
21-25280,False,False,False,False,False,False,True,
21-25299,False,True,False,False,False,False,False,
21-25346,False,False,False,False,False,False,False,
21-25358,False,False,False,False,True,False,False,
21-25420,False,False,False,False,False,False,True,
21-25571,False,False,False,False,True,False,False,
21-25641,False,False,False,False,False,False,True,
21-25647,False,False,False,True,False,False,False,
21-25704,False,False,False,True,False,False,False,
21-25738,False,False,False,True,False,False,False,
21-25758,False,False,False,False,False,True,False,
21-25808,False,False,False,False,False,True,False,
21-25983,False,False,False,True,False,False,False,
21-26002,False,False,False,False,False,False,True,
21-26006,False,False,False,True,False,False,False,
21-26010,False,False,False,True,False,False,False,
21-26040,False,False,False,True,False,False,False,
21-26090,False,False,False,False,False,False,True,
21-26150,False,True,False,False,False,False,False,
21-26191,False,False,False,True,False,False,False,
21-26264,False,False,False,True,False,False,False,
21-26287,False,False,False,False,True,False,False,
21-26311,False,False,False,False,True,False,False,
21-26336,False,False,False,False,True,False,False,
21-26353,False,False,False,False,False,False,False,
21-26390,False,False,False,False,True,False,False,
21-26411,False,True,False,False,False,False,False,
21-26436,False,False,False,False,False,False,False,
21-26509,False,False,False,False,False,False,False,
21-26682,False,False,False,False,False,False,True,
21-26706,False,False,False,True,False,False,False,
21-26713,False,False,False,False,False,False,True,
21-26725,False,False,False,False,False,False,True,
21-26770,False,False,False,False,False,False,True,
21-26812,False,False,False,False,False,False,True,
21-26944,False,False,False,False,True,False,False,
21-26964,False,False,False,False,True,False,False,
21-27063,False,False,False,True,False,False,False,
21-27067,False,False,False,False,False,False,True,
21-27100,False,False,False,False,True,False,False,
21-27157,False,False,False,False,False,False,False,
21-27264,False,False,True,False,False,False,False,
21-27266,False,False,True,False,False,False,False,
21-27269,False,False,False,False,False,False,True,
21-27270,False,False,False,False,False,False,True,
21-27273,False,False,False,False,False,False,False,
21-27279,False,False,False,False,True,False,False,
21-27287,False,False,False,False,False,True,False,
21-27290,False,False,False,False,True,False,False,
21-27295,False,False,False,False,False,False,False,
21-27296,False,False,False,False,False,True,False,
21-27299,False,False,False,False,False,False,False,
21-27302,False,False,False,False,True,False,False,
21-27304,False,False,False,True,False,False,False,
21-27306,False,False,False,False,True,False,False,
21-27307,False,False,False,False,False,False,False,
21-27309,False,False,False,False,False,False,False,
21-27315,False,False,False,False,False,False,True,
21-27317,False,False,False,False,False,True,False,
21-27324,False,False,True,False,False,False,False,
21-27326,False,False,False,False,True,False,False,
21-27327,False,False,False,False,True,False,False,
21-27334,False,False,False,False,False,False,False,
21-27335,False,False,False,False,True,False,False,
21-27339,False,True,False,False,False,False,False,
21-27344,False,False,False,False,True,False,False,
21-27349,False,False,False,False,True,False,False,
21-27351,False,False,False,True,False,False,False,
21-27354,False,False,False,False,False,False,False,
21-27356,False,False,False,False,False,False,False,
21-27358,False,False,False,False,False,False,True,
21-27359,False,False,False,True,False,False,False,
21-27360,False,False,False,False,False,False,True,
21-27365,False,False,False,False,False,True,False,
21-27366,False,False,False,False,False,False,True,
21-27369,False,False,False,False,False,False,True,
21-27377,False,False,False,False,True,False,False,
21-27383,False,False,False,False,True,False,False,
21-27386,False,False,False,False,False,False,False,
21-27388,False,True,False,False,False,False,False,
21-27390,False,False,False,False,False,False,True,
21-27391,False,False,True,False,False,False,False,
21-27392,False,False,False,True,False,False,False,
21-27394,False,False,False,False,False,False,True,
21-27397,False,True,False,False,False,False,False,
21-27401,False,False,False,False,False,False,True,
21-27404,False,False,False,False,True,False,False,
21-27406,False,False,False,True,False,False,False,
21-27420,False,False,False,True,False,False,False,
21-27421,False,False,False,True,False,False,False,
21-27422,False,False,False,True,False,False,False,
21-27424,False,False,False,False,True,False,False,
21-27425,False,False,False,False,True,False,False,
21-27427,False,False,False,False,True,False,False,
21-27428,False,False,False,False,False,False,True,
21-27430,False,False,False,False,True,False,False,
21-27431,False,False,True,False,False,False,False,
21-27435,False,False,False,False,True,False,False,
21-27437,False,False,False,False,False,False,False,
21-27439,False,False,False,False,False,True,False,
21-27441,False,False,False,False,False,False,True,
21-27442,False,False,False,False,False,False,False,
21-27444,False,False,False,False,False,False,True,
21-27445,False,False,False,False,False,False,False,
21-27446,False,False,False,False,True,False,False,
21-27448,False,False,False,False,False,False,False,
21-27451,False,False,False,False,True,False,False,
21-27452,False,False,False,True,False,False,False,
21-27455,False,False,False,True,False,False,False,
21-27461,False,False,False,False,False,False,True,
21-27462,False,False,False,False,True,False,False,
21-27463,False,False,False,False,True,False,False,
21-27465,False,False,False,False,False,False,True,
21-27466,False,False,False,False,True,False,False,
21-27468,False,False,False,True,False,False,False,
21-27469,False,False,False,True,False,False,False,
21-27474,False,False,False,False,True,False,False,
21-27479,False,False,False,False,False,False,True,
21-27480,False,False,False,False,True,False,False,
21-27482,False,False,False,False,False,False,False,
21-27483,False,False,False,False,True,False,False,
21-27486,False,False,False,False,True,False,False,
21-27488,False,False,False,False,False,False,False,
21-27489,False,False,False,False,True,False,False,
21-27490,False,False,False,False,True,False,False,
21-27500,False,False,False,False,True,False,False,
21-27502,False,False,False,False,True,False,False,
21-27504,False,False,False,False,True,False,False,
21-27508,False,False,False,False,True,False,False,
21-27509,False,False,False,False,False,True,False,
21-27510,False,False,False,False,True,False,False,
21-27512,False,True,False,False,False,False,False,
21-27513,False,False,True,False,False,False,False,
21-27521,False,False,False,False,False,False,True,
21-27524,False,False,False,True,False,False,False,
21-27527,False,False,False,False,True,False,False,
21-27536,False,False,False,False,True,False,False,
21-27537,False,False,False,False,True,False,False,
21-27539,False,False,False,False,False,False,False,
21-27542,False,False,False,False,True,False,False,
21-27547,False,False,False,False,True,False,False,
21-27552,False,False,False,False,False,False,True,
21-27553,False,False,False,False,False,False,False,
21-27554,False,False,False,False,False,False,False,
21-27557,False,False,False,False,True,False,False,
21-27561,False,False,False,False,True,False,False,
21-27562,False,False,False,False,True,False,False,
21-27566,False,False,False,True,False,False,False,
21-27567,False,False,False,False,False,False,True,
21-27568,False,False,False,False,False,False,False,
21-27570,False,False,False,False,True,False,False,
21-27572,False,False,False,True,False,False,False,
21-27575,False,False,False,False,False,False,True,
21-27576,False,False,False,True,False,False,False,
21-27577,False,False,False,False,True,False,False,
21-27580,False,True,False,False,False,False,False,
21-27588,False,False,False,False,False,False,False,
21-27590,False,False,False,True,False,False,False,
21-27595,False,False,False,True,False,False,False,
21-27597,False,True,False,False,False,False,False,
21-27598,False,False,False,False,False,False,False,
21-27599,False,False,False,False,False,True,False,
21-27601,False,False,False,False,False,False,False,
21-27603,False,False,False,False,False,False,True,
21-27606,False,False,False,False,False,False,False,
21-27611,False,False,False,True,False,False,False,
21-27612,False,False,False,False,True,False,False,
21-27618,False,True,False,False,False,False,False,
21-27620,False,False,False,False,False,False,True,
21-27622,False,False,False,False,True,False,False,
21-27623,False,False,False,False,True,False,False,
21-27624,False,False,False,False,True,False,False,
21-27625,False,False,False,False,True,False,False,
21-27626,False,False,False,False,False,False,True,
21-27628,False,False,False,False,False,False,False,
21-27631,False,False,False,False,False,False,True,
21-27633,False,False,False,False,False,False,False,
21-27635,False,False,False,False,False,True,False,
21-27636,False,False,False,False,False,False,False,
21-27637,False,False,False,False,True,False,False,
21-27638,False,False,False,False,True,False,False,
21-27640,False,False,False,False,False,False,False,
21-27641,False,False,False,True,False,False,False,
21-27647,False,False,False,False,False,False,True,
21-27649,False,False,False,False,False,False,True,
21-27650,False,False,False,False,True,False,False,
21-27655,False,False,False,False,False,True,False,
21-27656,False,False,False,False,True,False,False,
21-27661,False,False,False,False,True,False,False,
21-27667,False,False,False,False,False,False,True,
21-27671,False,False,False,False,False,False,True,
21-27674,False,False,False,False,False,False,False,
21-27675,False,True,False,False,False,False,False,
21-27677,False,False,False,False,True,False,False,
21-27678,False,False,False,False,True,False,False,
21-27682,False,False,False,False,True,False,False,
21-27686,False,False,False,False,False,False,True,
21-27688,False,False,False,False,False,False,False,
21-27689,False,False,False,False,False,False,False,
21-27690,False,False,False,False,False,False,True,
21-27693,False,False,False,False,True,False,False,
21-27695,False,False,False,False,True,False,False,
21-27696,False,False,False,False,False,False,False,
21-27697,False,False,False,False,False,True,False,
21-27700,False,False,False,False,False,False,False,
21-27703,False,False,False,False,False,False,True,
21-27705,False,False,False,False,True,False,False,
21-27707,False,False,False,False,False,False,False,
21-27712,False,False,False,False,True,False,False,
21-27714,False,False,False,False,False,False,True,
21-27715,False,False,False,False,False,False,True,
21-27716,False,False,False,False,True,False,False,
21-27721,False,False,False,False,False,False,True,
21-27727,False,False,False,True,False,False,False,
21-27728,False,False,False,False,False,False,True,
21-27730,False,False,False,False,True,False,False,
21-27737,False,False,False,False,False,False,True,
21-27738,False,False,False,False,False,False,True,
21-27739,False,False,False,True,False,False,False,
21-27742,False,False,False,False,False,False,True,
21-27746,False,False,False,True,False,False,False,
21-27749,False,False,False,False,False,False,True,
21-27750,False,False,False,False,True,False,False,
21-27756,False,False,False,False,True,False,False,
21-27760,False,False,False,True,False,False,False,
21-27761,False,False,False,False,False,True,False,
21-27762,False,False,False,False,False,False,True,
21-27766,False,False,False,False,True,False,False,
21-27770,False,True,False,False,False,False,False,
21-27771,False,False,False,False,False,False,True,
21-27772,False,False,False,False,False,False,True,
21-27778,False,False,False,True,False,False,False,
