BOAMP_AVIS_NUM,D_15_01_Conditionadministrative_Referencemarche,D_15_02_Conditionadministrative_Etudesconcours,D_15_03_Conditionadministrative_Recompenseslaureatoui,D_15_04_Conditionadministrative_Recompensesaureatnon,D_15_05_Conditionadministrative_Recompenseslaureat,D_15_06_Conditionadministrative_Indemnisationparticipants,D_15_07_Conditionadministrative_Conditionsremiseoffres,D_15_08_Conditionadministrative_Conditionsetmodepaiementobtenirdocuments,D_15_09_Conditionadministrative_Datelimiteobtentiondocuments,D_15_10_Conditionadministrative_Documentpayantoui,D_15_10_01_Conditionadministrative_Documentpayantoui_Valeur,D_15_10_01_01_Conditionadministrative_Documentpayantoui_Valeur_Value,D_15_10_01_02_Conditionadministrative_Documentpayantoui_Valeur_Devise,D_15_11_Conditionadministrative_Documentpayantnon,D_15_12_Conditionadministrative_Persouvertureoffresoui,D_15_13_Conditionadministrative_Persouvertureoffresnon,D_15_14_Conditionadministrative_Datedebutattribution,D_15_15_Conditionadministrative_Dateouvertureoffres,D_15_16_Conditionadministrative_Lieuouvertureoffres,D_15_17_Conditionadministrative_Abandonsadoui,D_15_18_Conditionadministrative_Abandonsadnon,D_15_19_Conditionadministrative_Finattributionoui,D_15_20_Conditionadministrative_Finattributionnon,D_15_21_Conditionadministrative_Envoielectroniqueavecoutiloui,D_15_22_Conditionadministrative_Envoielectroniqueavecoutilnon
18-78200,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
19-162046,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
19-177494,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
20-118261,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,True
20-121271,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
20-128135,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,2021-04-20 00:00:00,,,False,False,False,False,True
20-129071,,,False,False,,,,Adresse auprès de laquelle les documents peuvent être obtenus : Réseau Vauban - 2 rue Mégevand - 25034 Besançon cedex / Courriel : julie.mottet@besancon.fr,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
20-129797,2021-317-001,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
20-130998,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,2021-04-12 00:00:00,,,False,False,False,False,True
20-136547,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,2021-04-19 00:00:00,,,False,False,False,True,False
20-138219,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
20-140568,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,2021-04-12 00:00:00,,,False,False,False,True,False
20-145550,,,True,False,Tout candidat participant au concours et remettant une offre conforme au règlement de concoursbénéficie dune prime de 45.000 euro HT.,"Cette somme sera versée sur présentation dune facture par chaque candidat. Pour le lauréat retenu, devenu titulaire du marché public de maitrise duvre, elle sera considérée comme acompte, et sera déduite des honoraires dus au titre de lesquisse.Cette prime sera versée dans un délai maximum de trente (30) jours à compter de la réception de la facture.",,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,True
20-148227,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
20-148651,2020TX0009,,False,False,,,"la transmission des documents se fait uniquement par voie électronique. Elle est effectuée sur le profil d'acheteur du pouvoir adjudicateu, à l'adresse suivante : https://www.xmarches.fr/entreprise/. Pour ce faire, les candidats doivent se rendre sur la consultation en saisissant la référence de l'affaire recherchée dans l'onglet 'accès rapide à une consultation' à savoir 2020TX0009 et en cliquant sur 'OK'. Les modalités de dépôt de l'offre par voie électronique sont énoncées dans le Règlement de Consultation.","Le Dossier de Consultation des Entreprises est téléchargeable gratuitement depuis le profil d'acheteur de la Commune de Vitry-le-François à l'adresse suivante : https://www.xmarches.fr/entreprise/ en saisissant la référence de l'Affaire recherchée dans l'onglet 'accès rapide à une consultation' à savoir 2020TX0009 et en cliquant sur 'OK'. Pour ce faire, il n'est pas obligatoire de s'identifier néanmoins, cette étape est vivement recommandée afin que l'entreprise puisse être destinataire des échanges de Questions/Réponses et éventuelles modifications de détail apportées au DCE au cours du délai de publicité.",,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
20-153388,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,2021-05-05 00:00:00,,,False,False,False,False,True
20-154145,GAIA-SSAM21-NEG01,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
20-154225,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
20-156199,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,2021-04-06 00:00:00,,,False,False,False,False,True
20-156499,20S0308,,False,False,,,"les candidatures et les offres sont transmises par voie électronique uniquement à l'adresse suivante : https://www.e-marches06.fr. Les candidatures et offres peuvent être doublées d'une copie de sauvegarde sur support physique électronique adressée sous pli cacheté portant la mention  copie de sauvegarde  envoyée avant la date limite de remise des offres fixée ci-dessus, à l'adresse visée en tête de l'avis. Les documents doivent être sous format pdf a résolution 300 dpi niveau de gris. Les certificats de signature électronique doivent être conformes et référencés. Toutes les modalités de remise des candidatures et des offres, la procédure applicable en cas de détection d'un programme informatique malveillant sont détaillées dans le règlement de la consultation.",Retrait du DCE jusqu'à la date limite de remise des offres fixée ci-dessus. Par téléchargement à l'adresse suivante : https://www.e-marches06.fr,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
20-156857,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
20-156941,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
20-45845,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
20-58543,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,2021-05-25 00:00:00,,,False,False,False,False,True
20-59896,,,False,False,,,les plis devront être transmis par voie dématérialisée sur le profil acheteur de la Ville : http://marches.maximilien.fr,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
20-65624,,,False,False,,,"Conformément aux article R. 2132-2 ; R 2132-4 à R. 2132-6 du Code de la commande publique, la transmission des plis par voie électronique est obligatoire pour cette consultation. Les plis devront parvenir à destination avant le mercredi 28 avril 2021 à 15 heures. La transmission des documents par voie électronique est effectuée sur le profil d'acheteur de l'entité adjudicatrice, à l'adresse URL suivante : https://www.megalisbretagne.org.",Retrait électronique à l'adresse suivante : https://www.megalisbretagne.org.,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
20-71978,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,Les offres seront ouvertes au siège de CRETEIL-HABITAT-SEMIC.,False,,2021-04-29 00:00:00,,,False,False,False,False,True
20-72295,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,Les offres seront ouvertes au siège de CRETEIL-HABITAT-SEMIC.,False,,2021-04-09 00:00:00,,,False,False,False,False,True
20-74155,,,False,False,,,Les plis sont obligatoirement déposés sur le profil acheteur de FranceAgriMer https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=728896&orgAcronyme=b4n,Le dossier de consultation est accessible directement et gratuitement à l'adresse suivante https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=728896&orgAcronyme=b4n,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
20-89943,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,True
20-96627,03/2021,,False,False,,,"Conformément aux articles R. 2132-7 et suivants du Code de la Commande Publique, l'Acheteur Public met à disposition le dossier de consultation par voie électronique, sur le profil d'acheteur suivant :https://www.marches-securises.fr / Mot-clé : Villeneuve LoubetDans la continuité de la réforme du droit de la commande publique entrée en vigueur au 1er avril 2016, les Acheteurs Publics sont dans l'obligation depuis le 1er octobre 2018 de procéder à une dématérialisation totale de leurs procédures de marchés publics.Il sera donc demandé aux candidats de remettre l'intégralité de leur offre par voie électronique via le profil d'acheteur mentionné ci-avant.Les offres transmises par toute autre voie que la voie dématérialisée seront déclarées irrégulières et rejetées.",Le site d'accès est libre après inscription gratuite Les frais d'accès au réseau sont à la charge de chaque candidat.,2021-04-15 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
21-10048,,,False,False,,,,Les documents de la consultation doivent être consultés et téléchargés gratuitement sur le site https://demat.centraledesmarches.com/7056713.,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
21-10071,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,True
21-10640,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
