,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
21-648,Ville d'Hendaye,None, MONSIEUR LE MAIRE,,,Place de la République - BP 60150,64701,Hendaye,,05-59-48-23-23,,,hendayeaas@gmail.com,,http://e-marchespublics.com,,,,,False,False,,False,False
21-9223,Cté de communes du Pays d'Anglure,None,,,FRF23,Promenade de l'Aube,51260,ANGLURE,,,,,contact@ccssom.fr,https://www.xmarches.fr,https://www.xmarches.fr,,,,,False,True,,False,True
21-35324,COMMUNE,None,"FLOCH-RUJU Valérie, DGS",,,26 place du général de Gaulle,17250,Pont l'Abbé d'Arnoult,,05-46-97-00-19,,05-46-97-12-31,mairie@ville-pont-labbe-darnoult.fr,http://www.ville-pont-labbe-darnoult.fr,http://www.marches-securises.fr,,,,,False,False,,False,False
21-10993,CCAS d'Evreux,None,,,FRD21,"16, rue de la petite cité",27001,EVREUX CEDEX,,(+33) 2-32-31-92-91,,(+33) 2-32-31-92-28,marches@epn-agglo.fr,https://marchespublics.eure.fr,https://marchespublics.eure.fr,https://marchespublics.eure.fr,,,,False,True,,False,True
21-15197,SDIS 60 - Sce Dept d'Incendie,2860001300032,,,FRE22,"8, Avenue de l'Europe ZAE Beauvais Tillé BP 20870",60008,Beauvais,,(+33) 3-44-84-20-21,,,sophie.broquelaire@sdis60.fr,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2020_shlCWTcXoo,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,True,,False,True
21-20132,MAIRIE,None,,,FR,,80200,Péronne,,,,,c.dumez@ville-peronn.fr,http://www.ville-peronne.fr,,,http://www.marchespublics.com,http://www.marchespublics.com,,False,True,,False,True
21-11068,Chambre d'Agriculture de l'Isère,None,"Mme Marion Debard, Chef de projet",,,"34 rue Gustave Eiffel,",38028,Grenoble cedex 1,,04-76-70-97-97,,,,https://www.elegia-groupe.fr/,https://www.achatpublic.com/,,,,,False,False,,False,False
21-4965,SIAVED,None,Charles LEMOINE,,,5 route de lourches,59282,Douchy les mines,,,,,marches.publics@siaved.fr,http://www.siaved.fr,,,,,,False,False,,False,False
21-4173,Ville de Saint André (974),None,,M. LE MAIRE,FRY40,Place du 2 décembre - BP 505,97440,Saint André,,(+33) 2-62-58-88-88,,(+33) 2-62-46-80-33,marches@saint-andre.re,http://www.saint-andre.re/,https://www.marches-securises.fr,,https://www.marches-securises.fr,https://www.marches-securises.fr,,False,True,,False,True
21-33411,Perpignan Méditerranée Communauté,20002718300017,,,FRJ15,11 Boulevard Saint Assiscle,66006,Perpignan,,(+33) 4-68-08-60-00,,(+33) 4-68-08-60-01,accueil.pmca@perpignan-mediterranee.org,http://www.perpignanmediterranee.org,http://www.marches-publics.info,,http://www.marches-publics.info,http://www.marches-publics.info,,False,True,,False,True
